state_code,city,name,category_code,status,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,acq/closed
CA,Menlo Park,Center'd,web,closed,1/1/2006,12/2/2011,2/1/2007,5/3/2011,1.0849,5.337,-0.6164,4.6082,8,5,10400000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,0
KY,Louisville,Resonant Vibes,web,closed,1/1/2004,4/27/2012,11/25/2008,11/25/2008,4.9041,4.9041,3.055353048,4.754422568,0,1,350000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
NY,Brooklyn,drop.io,education,acquired,11/26/2007,,12/3/2007,5/3/2010,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,1
CO,Denver,Stratavia,software,acquired,1/1/2001,,8/31/2005,12/29/2009,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,1
VA,Vienna,Invicta Networks,public_relations,closed,1/1/1999,3/28/2010,8/9/2005,8/9/2005,6.6082,6.6082,3.055353048,4.754422568,0,1,200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
CA,Los Altos,QSecure,security,closed,1/1/2003,9/22/2012,8/2/2005,10/5/2009,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,0
CA,Burlingame,MeeVee,games_video,acquired,7/1/2000,,2/1/2005,9/1/2007,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,1
NY,New York,SinglePlatform,web,acquired,1/1/2010,,9/29/2010,8/1/2011,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1
CA,Palo Alto,Bling Nation,enterprise,closed,1/1/2007,9/10/2011,7/2/2009,10/30/2009,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
TX,Austin,Metreos Corporation,software,acquired,1/1/2001,,3/20/2003,10/14/2004,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,1
WA,Seattle,Hidden City Games,other,closed,1/1/2004,9/28/2011,10/31/2007,10/31/2007,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0
CA,Palo Alto,Neopolitan Networks,web,closed,1/1/2002,7/25/2008,6/28/2007,6/28/2007,5.4904,5.4904,0,0,1,1,3170000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
CA,San Francisco,Pixelpipe,mobile,closed,1/1/2008,8/2/2013,1/1/2007,4/25/2011,-1,3.3151,3.6959,5.663,4,2,2300000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
CO,Boulder,EventVue,public_relations,closed,5/1/2007,2/1/2010,8/1/2007,9/1/2007,0.2521,0.337,3.055353048,4.754422568,5,2,455000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,0
IL,Chicago,BridgePort Networks,software,acquired,1/1/2002,,11/3/2006,11/3/2006,4.8411,4.8411,1,1,3,1,13000000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1
CA,Palo Alto,Scalent Systems,public_relations,acquired,1/1/2003,,1/22/2007,1/22/2007,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1
CA,Berkeley,IQ Engines,photo_video,acquired,6/1/2008,,6/25/2012,6/25/2012,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1
TX,Austin,"RetailMeNot, Inc.",web,acquired,5/1/2007,,11/1/2009,11/10/2011,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,1
CA,Santa Ana,Mophie,hardware,acquired,5/24/2005,,8/1/2006,8/1/2006,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1
CA,Moffett Field,Airship Ventures,other,closed,1/1/2007,11/14/2012,5/9/2008,3/1/2009,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0
WA,Seattle,Lockdown Networks,public_relations,acquired,1/1/2001,,2/25/2005,3/2/2006,4.1534,5.1671,3,3,6,2,8600000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,1
NC,Durham,eMinor,software,closed,10/1/2006,2/17/2012,8/1/2006,10/7/2008,-0.1671,2.0192,3.055353048,4.754422568,9,2,5000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,0
CA,San Francisco,Karma,mobile,acquired,1/1/2011,,1/1/2011,11/14/2011,0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,1
PA,Pittsburgh,Zipano,security,closed,6/1/2009,5/27/2012,7/1/2009,7/1/2009,0.0822,0.0822,3.055353048,4.754422568,2,1,25000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
NY,New York,Entertainment Media Works,software,closed,7/1/2004,10/1/2008,2/26/2007,2/26/2007,2.6575,2.6575,0,0,1,1,4000000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
CA,San Francisco,Elastra,software,closed,1/1/2007,1/28/2011,8/15/2007,8/5/2008,0.6192,1.5945,1,4.3315,8,2,14600000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0
CA,San Jose,RPO,hardware,closed,1/1/2005,6/1/2013,1/24/2006,9/13/2010,1.063,5.7014,3.055353048,4.754422568,0,3,44000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,0
CA,San Francisco,Fotomoto,ecommerce,acquired,10/1/2008,,12/1/2008,5/26/2011,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,1
NY,New York,Peer39,advertising,acquired,3/1/2006,,3/1/2006,1/24/2012,0,5.9041,3.8411,7.137,18,7,29915001,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,1
GA,Atlanta,Vitrue,enterprise,acquired,5/1/2006,,5/1/2006,2/17/2011,0,4.8027,3.7205,7.6164,26,4,33000000,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,1,1
NH,Manchester,Trendslide,mobile,acquired,8/1/2011,,8/1/2011,3/1/2012,0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
CA,Menlo Park,PublicEarth,travel,closed,1/1/2008,2/15/2011,2/8/2008,5/21/2010,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
WA,Seattle,Azaleos,enterprise,acquired,5/11/2004,,11/6/2007,11/6/2007,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
CA,Sunnyvale,Efficient Frontier,advertising,acquired,1/1/2002,,8/31/2006,8/31/2006,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,1
CA,Sunnyvale,NetDevices,software,acquired,1/1/2003,,8/16/2005,8/16/2005,2.6247,2.6247,3.055353048,4.754422568,4,1,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,1
NY,New York,Go Try It On,fashion,acquired,12/1/2009,,11/4/2010,11/13/2012,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1
MA,Cambridge,Performable,software,acquired,10/17/2009,,1/15/2010,1/15/2010,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
CA,San Francisco,Appstores.com,software,acquired,5/24/2010,,8/1/2010,8/1/2011,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,1
CA,San Mateo,Fortify Software,software,acquired,10/1/2002,,12/15/2005,12/15/2005,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1
CA,South San Francisco,iCurrent,web,acquired,1/1/2006,,8/1/2008,8/1/2008,2.5836,2.5836,2,2,5,1,3000000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
MA,Boston,AisleBuyer,mobile,acquired,1/1/2009,,11/23/2010,6/13/2011,1.8932,2.4466,2,3.2767,4,2,11500000,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
TX,Austin,Indeed,web,acquired,11/1/2004,,8/1/2005,8/1/2005,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1
MA,Waltham,Colubris Networks,public_relations,acquired,1/1/2000,,3/8/2005,10/23/2006,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,1,1
CA,San Francisco,Mashery,enterprise,acquired,5/1/2006,,1/1/2007,7/23/2012,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5,1,1
CA,Palo Alto,Transparency Software,software,closed,1/1/2004,1/1/2009,3/9/2005,7/1/2007,1.1863,3.4986,3.055353048,4.754422568,0,2,12050000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0
CA,Palo Alto,Viewdle,analytics,acquired,1/1/2006,,3/1/2008,10/5/2010,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,1
CA,Aliso Viejo,Enclarity,consulting,acquired,2/1/2005,,3/10/2009,3/10/2009,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1
CA,Sunnyvale,Virsto Software,software,acquired,7/1/2007,,6/26/2009,8/25/2011,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,1
MO,Kansas City,Handmark,mobile,acquired,7/1/2000,,9/12/2005,9/7/2006,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,1
MA,Wilmington,Viacor,biotech,closed,12/1/1999,11/11/2011,9/12/2002,11/10/2010,2.7836,10.9507,-1.9151,-1.9151,10,3,19009671,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0
CA,San Francisco,Carbonetworks,cleantech,closed,1/1/2005,7/28/2011,7/1/2008,7/1/2008,3.4986,3.4986,3,3,6,1,5000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
WA,Kirkland,SchemaLogic,enterprise,acquired,1/1/2001,,1/17/2005,4/20/2010,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1
FL,Tampa,Skyway Software,software,closed,1/1/2001,10/1/2012,5/16/2007,5/16/2007,6.3726,6.3726,3.055353048,4.754422568,0,1,4000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
MA,Boston,CardStar,software,acquired,12/1/2008,,3/30/2010,9/13/2011,1.326,2.7836,1.674,3.1342,5,3,2030882,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1
CA,Alameda,Makani Power,cleantech,acquired,1/1/2006,,8/23/2008,8/23/2008,2.6438,2.6438,0,7.3918,4,1,5000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
WA,Bothell,Myrio,software,closed,12/1/1999,1/1/2012,1/1/2001,1/1/2001,1.0877,1.0877,3.055353048,4.754422568,5,1,20500000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0
CO,Boulder,Intela,advertising,acquired,2/2/2006,,1/18/2010,8/9/2012,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1
CA,San Mateo,Sana Security,security,acquired,1/1/2000,,4/2/2007,4/2/2007,7.2548,7.2548,7.0055,7.0055,7,1,12000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1
CA,San Francisco,Sportgenic,advertising,acquired,9/1/2005,,1/1/2007,9/9/2008,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,1
CA,San Francisco,Lolapps,web,acquired,1/1/2008,,9/5/2008,9/5/2008,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1
CA,Sunnyvale,Behavio,software,acquired,6/12/2012,,6/1/2012,6/1/2012,-0.0301,-0.0301,0.137,0.137,3,1,355000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
FL,Tampa,Infinity Box,web,acquired,1/1/2006,,1/1/2006,4/1/2006,0,0.2466,2.4164,5.3151,10,2,118000,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,1
CA,San Francisco,adBrite,advertising,acquired,1/1/2003,2/1/2001,9/1/2004,5/1/2012,1.6685,9.337,7.3808,10.474,17,4,40400000,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,1
TX,Dallas,Texert,software,closed,1/1/2007,7/14/2008,10/21/2008,10/21/2008,1.8055,1.8055,3.055353048,4.754422568,1,1,3000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
CA,Fremont,Mendocino Software,software,closed,1/1/2003,2/7/2008,9/12/2005,1/1/2007,2.6986,4.0027,1,1,2,2,19700000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,1,0
CA,Santa Clara,QuikCycle,software,closed,1/1/1998,1/1/2011,3/1/2007,3/12/2007,9.1671,9.1973,3.055353048,4.754422568,0,2,17800000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
CA,San Francisco,Instagram,photo_video,acquired,3/1/2010,,3/5/2010,4/5/2012,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4,1,1
NY,New York,Motionbox,games_video,acquired,1/1/2006,,9/1/2006,1/14/2009,0.6658,3.0384,2,5.0548,10,3,17200000,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,1
MA,Cambridge,AccelGolf,mobile,closed,8/1/2008,5/1/2013,1/1/2008,12/4/2009,-0.5836,1.3425,0,1.5479,4,7,457282,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
CA,San Francisco,MoPub,mobile,acquired,9/9/2010,,9/1/2010,9/20/2012,-0.0219,2.0329,2.3151,3.1644,11,4,18500000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,1
NJ,Princeton,DNP Green Technology,cleantech,closed,1/1/2008,8/24/2012,1/17/2010,1/17/2010,2.0466,2.0466,3.055353048,4.754422568,2,1,12000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,0
CO,Loveland,Abound Solar,cleantech,closed,1/1/2007,11/1/2012,7/6/2010,12/15/2010,3.5123,3.9562,3.9534,4.8356,5,2,510000000,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,0
CA,Mountain View,Trovix,search,acquired,1/1/2002,,12/7/2005,9/6/2006,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,1
NY,New York,Thumbplay,music,acquired,9/1/2004,,10/30/2006,4/21/2010,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,1
WV,Kearneysville,Plethora Technology,software,closed,1/1/2000,5/23/2009,6/9/2005,6/9/2005,5.4411,5.4411,3.055353048,4.754422568,1,1,1000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
CA,Los Angeles,DailyStrength,web,acquired,4/1/2006,,5/18/2007,5/18/2007,1.1288,1.1288,1,2.6767,7,1,5000000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
MI,Canton,Danotek Motion Technologies,cleantech,closed,1/1/2001,5/1/2013,11/19/2008,8/30/2011,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,0
CA,Mountain View,Yub,ecommerce,closed,1/1/2013,1/1/2005,11/19/2013,11/19/2013,0.8822,0.8822,3.055353048,4.754422568,7,1,12000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,1,0
WA,Bellevue,SNAPin Software,software,acquired,1/1/2003,,7/11/2005,2/7/2006,2.526,3.1041,3.0027,9.126,5,2,22300000,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,1,1
CA,Santa Clara,Azuro,semiconductor,acquired,1/1/2002,,1/1/2006,11/13/2009,4.0027,7.8712,0.1616,0.1616,5,2,10000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,1,1
DC,Washington,ARPU,advertising,closed,5/1/2005,5/4/2010,7/1/2006,12/29/2009,1.1671,4.6658,3.055353048,4.754422568,1,3,15564591,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,1,0
CA,San Francisco,BookFresh,web,acquired,1/1/2007,,7/28/2009,7/28/2009,2.5726,2.5726,2.4795,4.6685,7,1,500000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1
CA,San Francisco,Singly,analytics,acquired,12/21/2010,,2/1/2011,4/23/2012,0.1151,1.3397,1.8329,2.6712,24,2,8950000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,1,1
NY,New York,TxVia,finance,acquired,1/1/2006,,10/1/2007,10/26/2010,1.7479,4.8192,4.0027,4.8192,8,4,55350000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4,1,1
CA,Mountain View,Blue Vector Systems,public_relations,closed,1/1/2002,8/31/2010,9/21/2005,9/21/2005,3.7233,3.7233,3.055353048,4.754422568,1,1,4000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0
IL,Chicago,Open Kernel Labs,software,acquired,1/1/2006,,9/13/2007,7/6/2012,1.6986,6.5151,3.2849,4.9315,3,5,10764323,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1
NJ,Somerset,Elanti Systems,software,closed,1/1/2007,2/11/2012,5/29/2008,5/29/2008,1.4082,1.4082,0,0,1,1,5500000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
CA,San Francisco,Astrid,social,acquired,1/1/2008,,4/13/2012,4/13/2012,4.2849,4.2849,2.4164,5.5151,7,1,400000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,1
CA,Berkeley,Nordic Windpower,cleantech,closed,1/1/2007,4/10/2013,10/2/2007,1/5/2010,0.7507,3.0137,3.055353048,4.754422568,3,3,54000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,1,0
GA,Alpharetta,Visiprise,software,closed,1/1/1985,5/3/2009,10/17/2005,10/17/2005,20.8055,20.8055,3.055353048,4.754422568,2,1,32000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0
WA,Seattle,Hubspan,software,acquired,1/1/2000,,10/14/2005,10/14/2005,5.789,5.789,3.055353048,4.754422568,1,1,13000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1
WA,Bellevue,iConclude,software,acquired,1/1/2005,,2/1/2005,4/10/2006,0.0849,1.2712,3.055353048,4.754422568,5,3,12500000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,1
CA,San Jose,41st Parameter,security,acquired,1/1/2004,,5/8/2006,4/11/2012,2.3507,8.2822,1.0027,8.2849,16,4,38064570,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,1,1
CA,San Francisco,Aardvark,web,acquired,7/1/2007,9/1/2011,1/1/2007,10/1/2008,-0.4959,1.2548,2.1726,4.6,21,2,6000000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,1
VA,Charlottesville,Hotelicopter,web,closed,6/1/2006,8/1/2012,11/17/2008,3/31/2011,2.4658,4.8329,0.5863,5.6164,4,2,5000000,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
VA,Dulles,Anystream,software,acquired,1/1/2000,,1/1/2000,2/7/2007,0,7.1068,6.0055,10.9041,9,3,59000000,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1
IL,Chicago,CakeStyle,web,closed,8/1/2011,8/1/2013,8/13/2012,8/13/2012,1.0356,1.0356,0,1.0356,2,1,1000000,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
